cnn-trending.com,"Imitated CNN.com, complete with the CNN logo. Pushed the Hawking Code scam. Domain expired.",[45][46]
Conservative 101,Falsely claimed that the White House fired Kellyanne Conway.,[14][15]
Conservative Frontline,Owned by Jestin Coler.,[47]
CountyNewsroom.info,"The fake news website, registered to Tbilisi, Georgia, makes ""a minimal attempt to look official"" and is used to spread malware on readers' computers.",[48]
Daily USA Update,,[49][50]
Disclose.tv,A fake news website based in Germany.,[51][20][52][53][54]
DrudgeReport.com.co,Owned by Jestin Coler (mimics the name of the Drudge Report).,[47]
Empire Herald,"Starting in January 2016, this fake news site had spread many of its hoaxes online in just a few weeks.",[36]
Empire News,"Many of this website's fake news hoaxes were widely shared on social media, with stories based on social or political controversies, or were simply appalling to readers. The site says that its content is for ""entertainment purposes only.""[55]",[12][36]
Empire Sports,"Includes a disclaimer describing itself as a ""satirical and entertainment website.""[56] Not to be confused with the legitimate (but long-defunct) Empire Sports Network.",[57]
The Exposé,British conspiracist website known for publishing COVID-19 and anti-vaccine misinformation. One of its articles was cited by Brazilian president Jair Bolsonaro in a speech falsely claiming that people vaccinated against COVID-19 were developing AIDS.,[58][59][60][61]
Fox-news24.com,Imitates Fox News. Site currently down.,[62][63]
The Gateway Pundit,"A far-right fake news website that repeatedly publishes false stories, including a story involving an unsubstantiated claim that Special Counsel head Robert Mueller sexually assaulted someone.",[64][65][66][67][68][69][70][71][72]
Global Associated News,"Described itself as enabling users to produce fake stories using its ""fake celebrity news engine.""",[57]
Globalresearch.ca,"Principal website of the Centre for Research on Globalization, which The Economist in April 2017 called ""a hub for conspiracy theories and fake stories,"" and NATO information warfare specialists in November 2017 linked to a concerted effort to undermine the credibility of mainstream Western media.",[73][74]
Gossip Mill Mzansi,"A fake news website using Wordpress, targeting South African affairs. Its misinformation is spread on social media including Facebook and Twitter.",[75][76]
The Grayzone,"Owned by Max Blumenthal, The Grayzone is known for its sympathetic views towards contemporary authoritarian regimes such as Venezuela, Russia and China, as well as conspiracy theories such as denial of the Uyghur genocide and disinformation distributed by the Russian government.",[77][78][79][80]
Guerilla News,,[81][82]
Gummy Post,"Fake news website that has published claims about President Obama issuing a full pardon for convicted rapper C-Murder, musician Kodak Black getting shot outside a nightclub in Florida, and a Hulk Hogan death hoax.",[83][84][85]
Houston Chronicle TV,Not affiliated with the legitimate Houston Chronicle.,[86][87][88]
Huzlers,"Fake news from this website often involves restaurants and leading brands to disgust readers with its gross-out stories. One story by the site falsely reported that Dong Nguyen, the creator of Flappy Bird, killed himself. Another story made up an incident where a person working at a McDonald's restaurant put his mixtapes in Happy Meals. The site describes itself as ""the most infamous fauxtire & satire entertainment website in the world.""[89]",[36][57][90][91]
InfoWars,"Managed by Alex Jones. Has claimed that millions of people have voted illegally in the 2016 presidential election, that the Sandy Hook Elementary School shooting was a hoax, that the Boston Marathon bombing was a false flag attack, and that the Democratic Party was hosting a child sex slave ring out of a pizza restaurant.",[92][93][94][95][96][97][98][99][100][72]
Judicial Watch,"Conservative activist group known for making false and unsubstantiated claims and filing lawsuits to investigate claimed misconduct, the vast majority of which have been dismissed by courts.[101]",[25][20][72][51]
ΚΒΟΙ2.com,"Notable for its use of the IDN homograph attack, this fake news site used lookalike letters from other scripts (news coverage of the spoof did not specify which, though the examples listed demonstrate Greek and Cyrillic examples) to spoof the legitimate television station KBOI-TV's website in 2011. (The real KBOI site has since moved to a new domain, IdahoNews.com.) The sole purpose of the fake KBOI site was to spread an April Fool's Day joke regarding Justin Bieber being banned in the state.",[102][103]
KMT 11 News,"Falsely reports celebrity appearances and filming locations in random local towns. Before the website went down, it referred to itself as a ""fantasy news website"".[104][105]",[106][104][105][107]
The Last Line of Defense,"This website has a history of publishing fake news articles, especially of the political genre. Notable hoaxes include Donald Trump revoking the press credentials of six major news outlets, Michelle Obama getting ditched by the Secret Service, and Hillary Clinton describing Beyonce's music using racial slurs. Although the website claims to be written by ""a group of educated, God-fearing Christian conservative patriots who are tired of Obama’s tyrannical reign and ready to see a strong Republican take the White House,"" its articles are in fact all written by one person, Christopher Blair, who has written under multiple pen names. As of 2019, Blair's site is now branded as ""Daily World Update: satire for flat-Earthers, Trumpsters and Y'all-Qaeda.""",[108][109][110][111]
Law Enforcement Today,"Published fake news about police relations amid the George Floyd protests and source of Oregon fires, as well as material by QAnon supporters.[112]",[14][15][113]
Liberal Society,"Published a fake direct quote attributed to Obama, Falsely claimed that the White House fired Kellyanne Conway.",[14][15]
Liberty Writers News,"Established in 2015 by Paris Wade and Ben Goldman, who told The Washington Post their stories focus on ""violence and chaos and aggressive wording"" to attract readers. The stories reflect the positions of supporters of Donald Trump.",[114][115]
LinkBeef,"Fake news website that has published claims about the pilot of Malaysia Airlines Flight 370 reappearing, a billionaire wanting to recruit 1,000 women to bear his children, and an Adam Sandler death hoax.",[116][117][118]
MV-media (formerly MV-lehti),"A Finnish fake news website that publishes disinformation, pseudoscience, conspiracy theories and Russian state propaganda. The publication has links to the far-right Soldiers of Odin.",[119][120][121][122]
Naha Daily,"This fake news website is now defunct, and was active in a span of five months with fake news articles, including a fake quote by Michael Kors.",[36]
National Insider Politics,,[123][124]
NationalReport.net,"Founder Jestin Coler told Columbia Journalism Review: ""When it comes to the fake stuff, you really want it to be red meat. [...] It doesn’t have to be offensive. It doesn’t have to be outrageous. It doesn’t have to be anything other than just giving them what they already wanted to hear."" In 2013, the nonpartisan FactCheck.org deemed NationalReport.net a satirical site. The site's disclaimer states ""All news articles contained within National Report are fiction, and presumably fake news. Any resemblance to the truth is purely coincidental.""[125]",[12][47][36][126]
Natural News,"Formerly NewsTarget, a website for the sale of various dietary supplements, promotion of alternative medicine, controversial nutrition and health claims, and various conspiracy theories, such as ""chemtrails"", chemophobic claims (including the purported dangers of fluoride in drinking water, anti-perspirants, laundry detergent, monosodium glutamate, aspartame), and purported health problems caused by allegedly ""toxic"" ingredients in vaccines, including the now-discredited link to autism.",[127][128][129][130][72]
NBCNews.com.co (Defunct),"Owned by Paul Horner. Mimics the URL, design and logo of NBC News.",[131]
News Breaks Here,,[132]
NewsBuzzDaily (defunct),"This fake news website mostly consists of celebrity gossip and death hoaxes, but a few of its other stories were disseminated on social media. When the site was up it said that it was ""a combination of real shocking news and satire news"" and that articles were for ""entertainment and satirical purposes"" only.[36]",[36]
News Examiner,"Started in 2015 by Paul Horner, the lead writer of the National Report. This website has been known to mix real news along with its fake news.",[36]
News Hound,,[57]
The News Nerd,A defunct website which used to have a disclaimer on every page.[133],[57]
NewsPunch (formerly known as YourNewsWire),"Founded by Sean Adl-Tabatabai and Sinclair Treadway in 2014. It has published fake stories, such as ""claims that the Queen had threatened to abdicate if the UK voted against Brexit."" Its name was changed to NewsPunch in 2018.",[134][135][136][137][138][139][140]
NewsWatch33,"Began in April 2015 under the name NewsWatch28, later becoming NewsWatch33. The website disguises itself as a local television outlet. It has also been known to mix real news along with its fake news in an attempt to circumvent Facebook's crackdown on them.",[36]
The New York Evening (TheNewYorkEvening.com),"This fake news website has spread numerous false claims, including a fake story claiming that Malia Obama had been expelled from Harvard.",[141]
Next News Network,,[142][143]
Now 8 News (Now8News.com),"Started in 2015, this fake news website is also designed to look like a local television outlet. Several of the website's fake stories have successfully spread on social media.",[36][144][145]
Oneworld.press,Russian troll farm working to elect Donald Trump and pushing fake pandemic information.,[146]
OpIndia,OpIndia is an Indian website that has been rejected by the International Fact-Checking Network (IFCN). Fact checkers certified by the IFCN have identified 25 fake news stories published by OpIndia between January 2018 and June 2020.,[147][148]
Palmer Report,"Hyperpartisan liberal political blog known for publishing unsubstantiated or false claims and conspiracy theories, especially on matters relating to Donald Trump and Russia",[25][26][20][52]
Peace Data,"A website that purports to be an independent left-wing news outlet, linked to Russian state actors.",[149]
Postcard News,"Postcard News is an Indian far-right propaganda and news website. In 2019, its founder, Mahesh Hegde, was arrested for a second time on charges of spreading fake news.",[150][151]
The Predicted,,[21]
Prntly,"A politically conservative news site described by Snopes as ""a disreputable outlet that has a penchant for publishing both fake news and spurious pro-Trump articles"".",[152][153]
React 365,"This user-created fake news generator, supposedly for ""pranking your friends"", had at least two stories that went viral.",[36]
The Reporterz,"Starting in early 2016, this fake news website penned several different hoaxes, including one about a murder over a Twitter trend.",[36]
Snoopack,,[154][155]
Spin Zone,,[156]
St George Gazette,,[157][158]
Stuppid,This fake news purveyor specializes in articles with stories that are morally offensive.,[36]
Super Station 95,Pirate radio station and corresponding website operated by Hal Turner.,[159][160][161][162][163][164]
TruNews,,[25][52]
TrueTrumpers.com,"This fake news website makes ""claims about President Donald Trump, former President Barack Obama and Muslims, in particular, as well as click-baiting claims about porn stars and secret tricks for weight loss and whiter teeth.""",[165]
UConservative,,[166][167]
UndergroundNewsReport.com,"According to PolitiFact, ""the site purposely writes outlandish stories to trick readers"". Launched on February 21, 2017, the website gained more than 1 million page views in its first two weeks; in less than a month the site was sued by Whoopi Goldberg.",[168][169]
The Unhived Mind,The Unhived Mind is a far-right fake news website that has frequently been shared on the alt-tech social network Gab.,[170]
United Media Publishing,Owned by Jestin Coler.,[47]
USA Daily Info,,[171][172]
usatoday.com.co (defunct),Falsely reports celebrity appearances and filming locations in random local towns,[47]
US Postman,,[173][174]
washingtonpost.com.co,"Originally registered by Jestin Coler. The Washington Post submitted a complaint against Coler's registration of the site with GoDaddy under the UDRP, and in 2015, an arbitral panel ruled that Coler's registration of the domain name was a form of bad-faith cybersquatting (specifically, typosquatting), ""through a website that competes with Complainant through the use of fake news. ... The fake news content misleads readers and serves as 'click bait' to drive readers to other sites, or to share the fake news content with others on social networking websites, to generate advertising revenue.""",[175][47]
WorldNetDaily,"A far-right website known for promoting falsehoods and conspiracy theories, including the false claim that Barack Obama was not born in the United States.",[25][26][20][72][176]
World News Daily Report (worldnewsdailyreport.com),"Run by Janick Murray-Hall. Its disclaimer states, ""World News Daily Report assumes all responsibility for the satirical nature of its articles and for the fictional nature of their content. All characters appearing in the articles in this website—even those based on real people—are entirely fictional and any resemblance between them and any person, living, dead or undead, is purely a miracle.""[177]",[20]
